======================================================================
XREF TRACE: PE_0529.bin
======================================================================

──────────────────────────────────────────────────────────────────────
TARGET: 0x000D4500  "Show Password"
──────────────────────────────────────────────────────────────────────

  [XREF from 0x00045AA1 in FUN_00045188]
  ┌─ 0x00045188  FUN_00045188  (1 params)
  │  
  │  void FUN_00045188(longlong *param_1)
  │  
  │  {
  │    undefined8 uVar1;
  │    undefined8 *puVar2;
  │    longlong *plVar3;
  │    int iVar4;
  │    int iVar5;
  │    undefined8 local_res8;
  │    
  │    uVar1 = DAT_00105330;
  │    iVar4 = (((int)*(short *)((longlong)param_1 + 0x14) - (int)(short)param_1[2]) + 1) * 0xc;
  │    local_res8._0_2_ =
  │         (((short)(iVar4 / 100) + (short)(iVar4 >> 0x1f)) -
  │         (short)((longlong)iVar4 * 0x51eb851f >> 0x3f)) + (short)param_1[2];
  │    iVar4 = (((int)*(short *)((longlong)param_1 + 0x16) - (int)*(short *)((longlong)param_1 + 0x12)) +
  │            1) * 0x15;
  │    iVar5 = (((int)*(short *)((longlong)param_1 + 0x14) - (int)(short)param_1[2]) + 1) * 0x19;
  │    local_res8._2_4_ =
  │         CONCAT22((((short)(iVar5 / 100) + (short)(iVar5 >> 0x1f)) -
  │                  (short)((longlong)iVar5 * 0x51eb851f >> 0x3f)) + (short)param_1[2],
  │                  (((short)(iVar4 / 100) + (short)(iVar4 >> 0x1f)) -
  │                  (short)((longlong)iVar4 * 0x51eb851f >> 0x3f)) +
  │                  *(short *)((longlong)param_1 + 0x12));
  │    local_res8._6_2_ =
  │         (short)(((((int)*(short *)((longlong)param_1 + 0x16) -
  │                   (int)*(short *)((longlong)param_1 + 0x12)) + 1) * 0x29) / 100) +
  │         *(short *)((longlong)param_1 + 0x12);
  │    puVar2 = (undefined8 *)thunk_FUN_00002888(0x1f30);
  │    if (puVar2 == (undefined8 *)0x0) {
  │      plVar3 = (longlong *)0x0;
  │    }
  │    else {
  │      plVar3 = FUN_0000bab0(puVar2,&local_res8,"SSID",0,0x2041);
  │    }
  │    param_1[0x1e] = (longlong)plVar3;
  │    if (plVar3 != (longlong *)0x0) {
  │      (**(code **)(*plVar3 + 0x38))(plVar3,0,0xe73c); ◄◄◄
  │      (**(code **)(*(longlong *)param_1[0x1e] + 0xd8))((longlong *)param_1[0x1e],uVar1); ◄◄◄
  │      (**(code **)(*param_1 + 0x18))(param_1,param_1[0x1e],1); ◄◄◄
  │    }
  │    iVar4 = (((int)*(short *)((longlong)param_1 + 0x14) - (int)(short)param_1[2]) + 1) * 0x1e;
  │    local_res8._0_2_ =
  │         (((short)(iVar4 / 100) + (short)(iVar4 >> 0x1f)) -
  │         (short)((longlong)iVar4 * 0x51eb851f >> 0x3f)) + (short)param_1[2];
  │    iVar4 = (((int)*(short *)((longlong)param_1 + 0x16) - (int)*(short *)((longlong)param_1 + 0x12)) +
  │            1) * 0x15;
  │    iVar5 = (((int)*(short *)((longlong)param_1 + 0x14) - (int)(short)param_1[2]) + 1) * 0x41;
  │    local_res8._2_4_ =
  │         CONCAT22((((short)(iVar5 / 100) + (short)(iVar5 >> 0x1f)) -
